ticket_id,text,intent_label,sentiment_label
GF-0117,I want assistance acquiring several of your product,,
GF-0118,need to demand revates of my money,,
GF-0119,Frustrated customer here. can you help me see what options for delivery I have?,,
GF-0120,"you aren't helpful, how can I chat wiuth someone?",,
GF-0121,I need assistance making a customer claim,,
GF-0122,"I have paid #4777192$25 for this item, how to get my money back?",,
GF-0123,You guys are awesome. Quick question: i am waiting for a reimbursement of #2595573$120,,
GF-0124,"I want to check how long refunds take, I need assistance",,
GF-0125,want help filing a consumer cliam against your company,,
GF-0126,help me tracking my compensation,,
GF-0127,filing consumer claim against your business,,
GF-0128,what do I need to do to download my invoice #37777?,,
GF-0129,Fantastic service as always: the app crashes every time I log in.,,
GF-0130,"I have to enter my new delivery address, could you help m?",,
GF-0131,I need to see in which cases can I request the damn refunds,,
GF-0132,"Thanks so much! i have got to download the bill from #1076493, help me",,
GF-0133,show me the eta of the order #6350779,,
GF-0134,I don't know how I could check the early termination charges,,
GF-0135,"I have paid #1938488#6803434 for this order, I want my reimbursement",,
GF-0136,Frustrated customer here. i need help to file a customer claim against ur company,,
GF-0137,"I have to leave feedback for a product, I need help",,
GF-0138,"I would like to list the payment methods, how to do it?",,
GF-0139,i need help changing several articles of purchase $14.5,,
GF-0140,"I have got to see how long refunds usually take, I need help",,
GF-0141,is it possible to check the ETA of order $49.99?,,
GF-0142,Where's my money?,,
GF-0143,Thanks so much! how do I acquire several articles?,,
GF-0144,i try to get a rebate of money,,
GF-0145,I'm extremely unhapp with ur services help to make a claim,,
GF-0146,need assistance tonotify of a trouble with payments,,
GF-0147,is it possible to place an order from $120,,
GF-0148,Honestly quite annoyed — how do i see when will my purchase arrive,,
GF-0149,This whole thing is a scam. Refund #3336109 today or I'm disputing the charge.,,
GF-0150,I'm getting tired of this awful runaround. assistance filing a customer reclamation against ur business,,
GF-0151,rebating #1168557#9231276,,
GF-0152,I do not know how I can correct my shgipping address,,
GF-0153,i have to sede the cancellation charge,,
GF-0154,can you help me submit feedback for a service?,,
GF-0155,I want help to change the delivery address,,
GF-0156,have a problem with cancelling purchase $89.99,,
GF-0157,I have to create a premium account for my fiance,,
GF-0158,i want assistance seeing the compensation current status,,
GF-0159,Honestly quite annoyed — modifying details on #8757008 account,,
GF-0160,opening $32.75 account,,
GF-0161,how can I get the invoices from #9912776?,,
GF-0162,"Love the new site, by the way! i need to see the reimbursement status, how can I do it?",,
GF-0163,where to sign up to the newsleter,,
GF-0164,I do not know how to download the bill #85632,,
GF-0165,I have got to send feedback for a product,,
GF-0166,there are errors trying to correct my address,,
GF-0167,can you help me cancel order #7023839?,,
GF-0168,I don't know what to do to restore my PIN code,,
GF-0169,Please issue a refund for #4241087 — I've already cancelled it.,,
GF-0170,want help to use the standard profile,,
GF-0171,Great experience so far. i need help to call customer assistance,,
GF-0172,help me seeing what hours customer service available is,,
GF-0173,I have to check in which cases can I request a refund,,
GF-0174,I'm calling to make a complaint against ur company,,
GF-0175,I'm getting tired of this awful runaround. i do not knwo what I need to do to cancel order $25,,
GF-0176,i do not know how to cancel order #2176675,,
GF-0177,how do I use the pro account?,,
GF-0178,I can't see the status of my subscription to your newsletter,,
GF-0179,"I lost the access key of my account, help me reset it",,
GF-0180,could you help me to solve payment errors?,,
GF-0181,Honestly quite annoyed — can I take a quick look at the bill #00108?,,
GF-0182,check bill #00108,,
GF-0183,Refund my $64.2 and cancel the second order (#4241087) while you're at it.,,
GF-0184,I want assistance writing an opinion for a product,,
GF-0185,I need to look for the fucking invoices from #2526539,,
GF-0186,i want assistance to send feedback for ur company,,
GF-0187,I do not know what to do to speak with customer service,,
GF-0188,I have to see in what situations can I ask to be reimbursed,,
GF-0189,can you help me to list your paymnet modalities?,,
GF-0190,I don't know what to do to talk to customer service,,
GF-0191,is it possible to purchase some articles?,,
GF-0192,Fantastic service as always: my card got charged twice.,,
GF-0193,showing reimbursement status,,
GF-0194,editing #6818269 account,,
GF-0195,"Love the new site, by the way! i want assistance entering my delivery address",,
GF-0196,where do i see if there are any news on the rebate,,
GF-0197,cancelling purchase #4661544,,
GF-0198,This company is a nightmare. Refund my $40 for #2577926 immediately.,,
GF-0199,ho do i get a refund,,
GF-0200,wanna file a custome complaint,,
GF-0201,I want assistance to notify of an error with sign-up,,
GF-0202,Cancel order #9351146 immediately and I expect a full refund of $64.2.,,
GF-0203,could you help me to see how soon can I expect the item?,,
GF-0204,how do I see your money back policy?,,
GF-0205,Fantastic service as always: my package is a week late.,,
GF-0206,Honestly quite annoyed — can yahelp me getting a compensation,,
GF-0207,"Excuse me, I think there's a small mistake on my invoice — a duplicate charge.",,
GF-0208,You guys are awesome. Quick question: i dont know how i can get refunds,,
GF-0209,Fantastic service as always: my refund has vanished into thin air.,,
GF-0210,Very upsetting situation. how do I shop a few of your item?,,
GF-0211,i do not know how i can see the current status of the rebate,,
GF-0212,You guys are awesome. Quick question: how can i check purchase #6658042 current status,,
GF-0213,I want information about the termination of a $120 account,,
GF-0214,is it possible to cancel purchase #7471523,,
GF-0215,I try to inform of a trouble with online payment,,
GF-0216,My card was charged $58 for an order I want cancelled (#2595573).,,
GF-0217,Why is my card charged?,,
GF-0218,Thanks so much! delete freemium acvount,,
GF-0219,Frustrated customer here. see the withdrawal penalties,,
GF-0220,add something to order $120,,
GF-0221,I expect an reimbursement of $58#8919350,,
GF-0222,wanna leave some feedback about a service,,
GF-0223,can I place an ordewr from $64.2?,,
GF-0224,"Love the new site, by the way! i would like to switch something of order #7023839",,
GF-0225,how can i check ur money back guarantee,,
GF-0226,I'm waiting for a refund of #8649800#8757008,,
GF-0227,where to cancel my subscription to the company newsletter,,
GF-0228,i have got to check the cvancellation penalty how to do it,,
GF-0229,i dont know what i need to do to lodge a consumer complaint,,
GF-0230,"Love the new site, by the way! find my bill from #9912776",,
GF-0231,I have troubles trying to update the address,,
GF-0232,how long till I receive a refund of money?,,
GF-0233,ened assistance downloading the bill from $40,,
GF-0234,Honestly quite annoyed — support correcting my address,,
GF-0235,"Love the new site, by the way! i have got to check the withdrawal charge",,
GF-0236,I call to download bill #00108,,
GF-0237,i have to see in which cases can i askfor my money back,,
GF-0238,can you help me contacting a person?,,
GF-0239,I am waiting for a reimbursement of $120#2526539,,
GF-0240,want help to see in what cases can I request reimbursements,,
GF-0241,help me seeing the early exit fee,,
GF-0242,help to list the available payment modalities,,
GF-0243,help me to cancel purchase #8757008,,
GF-0244,"Love the new site, by the way! directing to agent",,
GF-0245,I want help to see your available payment modalities,,
GF-0246,Honestly quite annoyed — is it possible to create a freemium account?,,
GF-0247,"I paid #2176675 dollars for an item, I need to receive a rebate",,
GF-0248,I need assistance ordering some of your article,,
GF-0249,i cannot check ur money back guarantee,,
GF-0250,i have a questioln about my standard account cancellation,,
GF-0251,where could I inform of issues with payment?,,
GF-0252,I want help trying to edit my shipping address,,
GF-0253,"Thanks so much! i have got to see the cancellation penalties, help me",,
GF-0254,I'm trying to check in which cases can i ask for a refund,,
GF-0255,"Love the new site, by the way! i paid #1636773$19.99 for these articles, I have to obtain a rebate",,
GF-0256,assistance subscriving to the company newsletter,,
GF-0257,help talking with customer service,,
GF-0258,I don't know how to create a premium account for my fiance,,
GF-0259,is it possible to lodge a customer claim,,
GF-0260,Great experience so far. opening new premium account,,
GF-0261,I can no longer afford purchase #5936436,,
GF-0262,I'm waiting for a  compensation of #1866995#2275152,,
GF-0263,How do I get a human on the line?,,
GF-0264,"Love the new site, by the way! check payment modalities",,
GF-0265,Very upsetting situation. i can no longer pay for order #4072634,,
GF-0266,can ushow me the accepted payment metyods,,
GF-0267,help me to change a goddamn product of order $58,,
GF-0268,want help to request a compensation of my money,,
GF-0269,You guys are awesome. Quick question: see in which cases can I request a reimbursement,,
GF-0270,help me canceling purchase $89.99,,
GF-0271,"Wow, amazing — the app crashes every time I log in. What a wonderful experience.",,
GF-0272,"Love the new site, by the way! is it possible to order from #6860249?",,
GF-0273,assistance to cancel purchase #8291293,,
GF-0274,"I purchased some product, cancel order #7055261",,
GF-0275,Would you mind telling me why my delivery is three days late?,,
GF-0276,Money back now.,,
GF-0277,can ya help me to see what payment options ya accept,,
GF-0278,I need help to recover my profile key,,
GF-0279,"Hello, it seems my refund is taking longer than the promised 5 days.",,
GF-0280,Sort out the duplicate charge on my card and refund $89.99 for order #9912776.,,
GF-0281,Very upsetting situation. where to check the termination charges?,,
GF-0282,"I can't afford this item, I try to cancel order $64.2",,
GF-0283,switching user,,
GF-0284,modify purchase #3045073,,
GF-0285,I'm trying to set up another shipping address,,
GF-0286,i have to write an opinion for a service,,
GF-0287,help me change the address,,
GF-0288,I am trying to see when my package is going to arrive,,
GF-0289,I want help to purchase some items,,
GF-0290,i have to check the eta of the purchase #7023839,,
GF-0291,Brilliant — I still don't have my refund. You never disappoint.,,
GF-0292,I have got to check what delivery methods are there,,
GF-0293,Honestly quite annoyed — i do not know how I can notify of an error with payments,,
GF-0294,I'm getting tired of this awful runaround. i have tl see how soon can I expect my shipment,,
GF-0295,You guys are awesome. Quick question: i want help adding some products to purchase #8291293,,
GF-0296,I'm getting tired of this awful runaround. i don't know how to inform of issues with online payment,,
GF-0297,I want assistance submitting my delivery address,,
GF-0298,Beyond angry. Process the refund for #4267341 or I'm going to my card provider.,,
GF-0299,i need help to delete something from order $49.99,,
GF-0300,Great experience so far. i call to see the shipping methods,,
GF-0301,help me reporting an issue wigh online payment,,
GF-0302,i need assistance swapping an article of order $120,,
GF-0303,I'm waiting for a reimbjrsement of #4661544$40,,
GF-0304,Great experience so far. getting bill from $89.99,,
GF-0305,want help filing a claim,,
GF-0306,Honestly quite annoyed — could you help me to write an opinion for your company?,,
GF-0307,I want help speaking to goddamn customer service,,
GF-0308,Thanks so much! i do not know how I can check the status of my compensation,,
GF-0309,Thanks so much! contact agent,,
GF-0310,I want help to submit the new delivery address,,
GF-0311,I need to create a gold account,,
GF-0312,how to submit my feedback about your company?,,
GF-0313,how doI see the early termination penalty?,,
GF-0314,how can i get information about updating order #6818269,,
GF-0315,help me seeing the termination fees,,
GF-0316,need to notify of an issue with registrations,,
GF-0317,can you help me to see the current status of my refund?,,
GF-0318,Thanks so much! i need help checking the termination fee,,
GF-0319,i need assistance canceling roder $120,,
GF-0320,help lodging a consumer reclamation against your business,,
GF-0321,I want assistance seeing when will my item arrive,,
GF-0322,I do not know how I can see the early termination penalty,,
GF-0323,i have troubles entering the new shipping address,,
GF-0324,Refund please for #3623354. Oh and cancel any repeat orders on my account.,,
GF-0325,i try to change my shipping address,,
GF-0326,where do I get invoice #00108?,,
GF-0327,looking for invoice from $120,,
GF-0328,I want help filing a consumer complaint,,
GF-0329,Very upsetting situation. could you help me file a reclamation ?,,
GF-0330,what do I need to do to request a fucking refund?,,
GF-0331,need assistance to talk with an agent,,
GF-0332,I want to know more about the subscription to the newsletter,,
GF-0333,"I have made a mistake, help me change purchase #8438443",,
GF-0334,see purchase $120 status,,
GF-0335,uhave a free number to get in touch with customer assistance,,
GF-0336,"Oh great, my delivery went to the wrong address again. Exactly what I needed today.",,
GF-0337,You guys are awesome. Quick question: open premium cacount for wife,,
GF-0338,Very upsetting situation. i do not know how I can submit my feedback for your products,,
GF-0339,Could someone explain why I was charged twice this month?,,
GF-0340,I don't know how to see what delivery methods I have,,
GF-0341,I need to know if there is anything new on the restitution,,
GF-0342,help solving a goddamn error with online payments,,
GF-0343,help me downloading my invoice #37777,,
GF-0344,I try to set  up my goddamn shipping address,,
GF-0345,I have problems with canceling purchase #4241087,,
GF-0346,I need help unsubscribing to the company newsletter,,
GF-0347,I am trying to leave fewedback about a service,,
GF-0348,want assistance cancelling order #1938488,,
GF-0349,uhave a free number to talk with customer assistance,,
GF-0350,Honestly quite annoyed — canceling order #3298645,,
GF-0351,i want help to update order #2526539,,
GF-0352,get money back,,
GF-0353,i have a tyrouble modifying my address,,
GF-0354,assistance checking the fucking early exit penalties,,
GF-0355,"my experience with you was too bad, help making a complaint",,
GF-0356,I am trying to leave an opinion about your company,,
GF-0357,Never shopping here again. Cancel #7471523.,,
GF-0358,Frustrated customer here. need help to swap an item of order #3336109,,
GF-0359,Great experience so far. can you help me cancelling my newsletter subscription?,,
GF-0360,"Love how I still don't have my refund. Really top-notch stuff, guys.",,
GF-0361,I want help buying some of your product,,
GF-0362,i want help requesting a reimbursement of moey,,
GF-0363,I'm getting tired of this awful runaround. where could I check the current status of my restitution?,,
GF-0364,lodging consuer complaint,,
GF-0365,can i talk to an agent,,
GF-0366,Package. Late. Again.,,
GF-0367,"Love the new site, by the way! i don't know what I have to do to see the withdrawal charges",,
GF-0368,"Oh great, my card got charged twice again. Exactly what I needed today.",,
GF-0369,I'm getting tired of this awful runaround. changing to pro account,,
GF-0370,This is ridiculous. Refund my card for order #3045073 NOW.,,
GF-0371,can i get the bill #12588,,
GF-0372,can you help me filing a claim against your organization?,,
GF-0373,"Could you let me know the status of my refund, please? It seems delayed.",,
GF-0374,Great experience so far. help me to download the bill #37777,,
GF-0375,help to see the current status of purchase #7167086,,
GF-0376,Totally outrageous. I want #7167086 cancelled before it ships.,,
GF-0377,This is the second time I'm asking: cancel #4267341 and return my $14.5.,,
GF-0378,how to check at what time i can reach customer assistance,,
GF-0379,could you help me canceling purchase $58?,,
GF-0380,You guys are awesome. Quick question: in which cases can I request refunds?,,
GF-0381,I'm waiting for a restitution of $49.99#3336109,,
GF-0382,I can't see if there is anything wrong with the restitution,,
GF-0383,i have a question about creating a #8919350 account,,
GF-0384,is it possible to list ur accepted payment modalities,,
GF-0385,order a few of your article,,
GF-0386,is it possible to get rebates of money?,,
GF-0387,Frustrated customer here. i am trying to see the accepted payment methods,,
GF-0388,I cannot receive the corporate newsletter,,
GF-0389,cancel purchase  $89.99,,
GF-0390,"Just perfect. My refund has vanished into thin air, and nobody even told me.",,
GF-0391,how to use the premium profile,,
GF-0392,i expect a compensation of #4661544 dollars was it processed,,
GF-0393,help me see in what situations can i request to be refunded,,
GF-0394,I have to see what payment payment modalities are accepted,,
GF-0395,"I want to see the methods for delivery, can you help me?",,
GF-0396,Very upsetting situation. can i place an oeder from $14.5,,
GF-0397,Great experience so far. question about canceling purchase #5556096,,
GF-0398,I  need assistance to download invoice #85632,,
GF-0399,I'm getting tired of this awful runaround. locating order #1938488,,
GF-0400,Thanks so much! help receiving reinbursements of my money,,
GF-0401,Charged twice??,,
GF-0402,I have a problem with the deletion of my #2526539 account,,
GF-0403,I would like to recover the key of my user account,,
GF-0404,could you help me see purchase #2705718 current status?,,
GF-0405,What a disgrace. Cancel my order #3070817 right now.,,
GF-0406,I'm getting tired of this awful runaround. where can I cancel my subscription to the newsletter?,,
GF-0407,assistance obtaining a refund of money,,
GF-0408,I do not know what I have to do to get my invoice #37777,,
GF-0409,how long until i get my money back,,
GF-0410,I have a problem submitting a different delivery address,,
GF-0411,i have got to notify of ah issue with a registration,,
GF-0412,I'm getting tired of this awful runaround. i expect a restitution of #5791940$89.99 has it been prcoessed,,
GF-0413,I've had it with you people — refund the $89.99 for #5270877.,,
GF-0414,"Frustrated customer here. i want to set up a secondary delivery address, how to do it?",,
GF-0415,Honestly quite annoyed — find information about subscribing to your newsletter,,
GF-0416,I'm getting tired of this awful runaround. can ya help me to solve probelms with payment,,
GF-0417,how do I see the status of the reimbursement?,,
GF-0418,I do not know what I have to do to edit the address,,
GF-0419,Fantastic service as always: you billed me for an order I never got.,,
GF-0420,You guys are awesome. Quick question: change to the standard account,,
GF-0421,I don't know what to do to get a reimbursement,,
GF-0422,I can't remove some articles from purchase #8649800,,
GF-0423,I need assistance trying to correct my delivery address,,
GF-0424,I want help to modify the address,,
GF-0425,"Great job, really: the app crashes every time I log in. So happy I chose you.",,
GF-0426,I don't know how to speak with an assistan,,
GF-0427,Would it be possible to check why my card was billed twice for one order?,,
GF-0428,Frustrated customer here. assistance removing something from purchase #7023839,,
GF-0429,i dont know how to cancel purchase #3336109,,
GF-0430,I'm a little concerned my refund hasn't reached my account yet.,,
GF-0431,i want help removing a product from order #2705718,,
GF-0432,I try to ask for a compensation of my money,,
GF-0433,I don't know what I have to do to do a pucrhase,,
GF-0434,help me to leave feedback for ur services,,
GF-0435,You should be ashamed. Cancel order #5791940 and confirm it in writing.,,
GF-0436,how do I see the early exit fee?,,
GF-0437,I am calling to file a complaint against your organization,,
GF-0438,I'm trying to request rebates of my money,,
GF-0439,help me get my bill from $120,,
GF-0440,Can you cancel #7055261? And the pending charge of $14.5 needs to come off my card.,,
GF-0441,"I have ordered some article, cancel purchase #4072634",,
GF-0442,I need help to retrieev my user PIN,,
GF-0443,I need assistance canceling purchase $58,,
GF-0444,"Great job, really: you billed me for an order I never got. So happy I chose you.",,
GF-0445,i try to make a bloody consumer complaint against ur company,,
GF-0446,I need to cancel #8757008 — also why was I billed $64.2 twice?,,
GF-0447,I'm getting tired of this awful runaround. i try to file a complaint against your organization,,
GF-0448,is it possible to receive fucking refunds of my money?,,
GF-0449,I don't know how I can change to the #3897973 account,,
GF-0450,i have to inform of problems with signup can i get some help,,
GF-0451,Great experience so far. mldifying $58 account,,
GF-0452,can you help me to file a fucking customer reclamation?,,
GF-0453,i have problems setting up my delivery address,,
GF-0454,can I inform of issues with signup?,,
GF-0455,want help to notify of troubles with online payment,,
GF-0456,I'm getting tired of this awful runaround. assistance seeing in what casew can i ask to be refunded,,
GF-0457,I need assistance to give a quick look at the bill #37777,,
GF-0458,Thanks so much! is there a way to leave an opinion about a service?,,
GF-0459,I need to order some articles,,
GF-0460,"Great job, really: I still don't have my refund. So happy I chose you.",,
GF-0461,"I ain't happy with your work, I need to make a claim",,
GF-0462,i dont khow how to cancel order $89.99,,
GF-0463,I'm slightly worried: my delivery shows no movement for six days.,,
GF-0464,need assistance checking the ETA of the purchase #4267341,,
GF-0465,I'd like to edit the data included on my user i need help,,
GF-0466,Could anyone clarify this unexpected charge on my invoice?,,
GF-0467,how to shop a few of ur article,,
GF-0468,see bill from #5823065,,
GF-0469,I need help checking the early termination penalties,,
GF-0470,i do not know what to do to see the options for shipping,,
GF-0471,I want help byying some bloody products,,
GF-0472,Very upsetting situation. i want aswistance to set up the new delivery address,,
GF-0473,need help with creating my #3336109 account,,
GF-0474,where can I see when my damn package is going to arrive?,,
GF-0475,I have a problem with cancelling purchase #8649800,,
GF-0476,i do not know how i can unubscribe to the newsletter,,
GF-0477,"Yeah, because you billed me for an order I never got is totally my favorite thing.",,
GF-0478,I have got to download my invoices from #6818269,,
GF-0479,how can I see the early exit penalies?,,
GF-0480,Honestly quite annoyed — i need help calling customer assistance,,
GF-0481,what do I need to do to write an opinion for your products?,,
GF-0482,Speak to someone please.,,
GF-0483,I do not know how I could get the bill from #8630833,,
GF-0484,tell me what hours customer support available is,,
GF-0485,You guys are awesome. Quick question: where to check  the termination fee?,,
GF-0486,correct details on gold account,,
GF-0487,I have to leave feedback about a product,,
GF-0488,Honestly quite annoyed — i do not know how I can see the current status of my refund,,
GF-0489,Very upsetting situation. could you help me to open a #6860249 account?,,
GF-0490,what do I need to do to see the compensation current status?,,
GF-0491,Frustrated customer here. can uhelp me check if there are any updates on the rebate,,
GF-0492,is it possible to place na order from #6818269,,
GF-0493,want help to talk to someone,,
GF-0494,"Love how my card got charged twice. Really top-notch stuff, guys.",,
GF-0495,i cannot switch a product of purchase #4267341,,
GF-0496,where to see the early termination fees?,,
GF-0497,"I bought the same item twice, cancel order #6658042",,
GF-0498,"I have got to leave some feedback for your products, help me",,
GF-0499,"Thanks so much! the experience with you was too bad, make a bloody claim",,
GF-0500,can uhelp me speak tyo somebody,,
GF-0501,i have lost the invoice #00108 could umail it to me,,
GF-0502,how do I get a rebate?,,
GF-0503,could you help me see what damn shipment methods you offer?,,
GF-0504,"I have entered a wrong fucking delivery address, correct it",,
GF-0505,"I need to check the payment modalities, can you help me?",,
GF-0506,when will purchase $120 arrive,,
GF-0507,iwant a freemium account for my husband open it,,
GF-0508,I need assistance using the #1938488 preofile,,
GF-0509,I expect a reimbursement of $89.99#2275152,,
GF-0510,want help reporting issues with online payments,,
GF-0511,can ya help me subscribing to ur company newsletter,,
GF-0512,i want assistance seeing the accepted payment modalities,,
GF-0513,termination charges,,
GF-0514,need help to get the bill from $64.2,,
GF-0515,help me speaking to customer support,,
GF-0516,Your refund policy is a joke — I want my $40 back today. Refund order #9351146.,,
GF-0517,Honestly quite annoyed — can I change a product of order #3897973?,,
GF-0518,"Love the new site, by the way! want assistance seeing your reimbursement policy",,
GF-0519,I do not know how to send feedback about your services,,
GF-0520,can you help me looking for my invoice #12588?,,
GF-0521,can ya help me seeing if there is anything new on the refund,,
GF-0522,is there a way to send a review for ur services,,
GF-0523,checking status of order $58,,
GF-0524,tell me at what time I can reach customer support,,
GF-0525,transfer to me an agent,,
GF-0526,"I have to see when will my item arrive, I need help",,
GF-0527,Great experience so far. what do I need to do to see my compensation current status?,,
GF-0528,mldifying pro account,,
GF-0529,purchase #6803434 status,,
GF-0530,I need help to leave a review about your products,,
GF-0531,I'm getting tired of this awful runaround. what do i need to do to see the early terminaion charges,,
GF-0532,"I was charged twice for #2526539, so refund one payment and cancel the duplicate order.",,
GF-0533,Brilliant — my package is a week late. You never disappoint.,,
GF-0534,I am waiting for a compensation of #4777192#7167086,,
GF-0535,were do i report damn troubles with payment,,
GF-0536,I'm waiting for a restitution oof #7055261#1636773,,
GF-0537,You guys are awesome. Quick question: wanna lodge a consumer reclamation against ur company,,
GF-0538,Honestly quite annoyed — i need help to see the termination fee,,
GF-0539,I need to see the fucking bill from $75,,
GF-0540,how to sends some feedback for ur products,,
GF-0541,assistance with opening a standard account,,
GF-0542,how can I check the termination charge?,,
GF-0543,is it possible to demand a rebate of my money?,,
GF-0544,Very upsetting situation. i need someone,,
GF-0545,i want assistance asking for a restitution of my money,,
