round,ticket_id,annotator,intent,sentiment,role
R2,GF-0338,A1,feedback_complaints,negative,overlap
R2,GF-0339,A1,billing_payments,negative,overlap
R2,GF-0341,A1,refund_request,neutral,production
R2,GF-0345,A1,cancellation,negative,overlap
R2,GF-0347,A1,other_contact,neutral,production
R2,GF-0349,A1,other_contact,neutral,production
R2,GF-0355,A1,feedback_complaints,neutral,production
R2,GF-0356,A1,feedback_complaints,neutral,overlap
R2,GF-0357,A1,cancellation,negative,overlap
R2,GF-0359,A1,cancellation,positive,overlap
R2,GF-0360,A1,refund_request,negative,overlap
R2,GF-0361,A1,order_changes,neutral,overlap
R2,GF-0362,A1,refund_request,neutral,production
R2,GF-0363,A1,refund_request,negative,production
R2,GF-0364,A1,feedback_complaints,neutral,overlap
R2,GF-0365,A1,other_contact,neutral,overlap
R2,GF-0366,A1,shipping_delivery,negative,overlap
R2,GF-0368,A1,billing_payments,negative,production
R2,GF-0369,A1,account_access,negative,overlap
R2,GF-0370,A1,refund_request,negative,overlap
R2,GF-0373,A1,refund_request,negative,overlap
R2,GF-0374,A1,billing_payments,positive,overlap
R2,GF-0376,A1,cancellation,negative,overlap
R2,GF-0377,A1,refund_request,negative,overlap
R2,GF-0380,A1,refund_request,positive,production
R2,GF-0381,A1,refund_request,neutral,overlap
R2,GF-0383,A1,account_access,neutral,production
R2,GF-0384,A1,billing_payments,neutral,production
R2,GF-0387,A1,billing_payments,negative,overlap
R2,GF-0390,A1,refund_request,neutral,overlap
R2,GF-0391,A1,account_access,neutral,production
R2,GF-0393,A1,refund_request,neutral,production
R2,GF-0394,A1,billing_payments,neutral,overlap
R2,GF-0397,A1,cancellation,positive,production
R2,GF-0400,A1,refund_request,positive,overlap
R2,GF-0401,A1,billing_payments,negative,overlap
R2,GF-0405,A1,cancellation,negative,overlap
R2,GF-0406,A1,cancellation,negative,overlap
R2,GF-0408,A1,billing_payments,neutral,overlap
R2,GF-0411,A1,other_contact,negative,overlap
R2,GF-0413,A1,refund_request,neutral,overlap
R2,GF-0415,A1,other_contact,negative,overlap
R2,GF-0419,A1,billing_payments,negative,overlap
R2,GF-0420,A1,account_access,positive,overlap
R2,GF-0421,A1,refund_request,neutral,production
R2,GF-0422,A1,order_changes,negative,production
R2,GF-0424,A1,billing_payments,neutral,production
R2,GF-0425,A1,account_access,negative,overlap
R2,GF-0426,A1,other_contact,neutral,production
R2,GF-0428,A1,other_contact,negative,production
R2,GF-0430,A1,refund_request,negative,overlap
R2,GF-0431,A1,other_contact,neutral,production
R2,GF-0435,A1,cancellation,neutral,overlap
R2,GF-0438,A1,refund_request,neutral,production
R2,GF-0440,A1,billing_payments,neutral,overlap
R2,GF-0441,A1,cancellation,neutral,production
R2,GF-0442,A1,account_access,neutral,overlap
R2,GF-0443,A1,cancellation,neutral,overlap
R2,GF-0446,A1,cancellation,neutral,overlap
R2,GF-0452,A1,other_contact,neutral,production
R2,GF-0457,A1,billing_payments,neutral,production
R2,GF-0459,A1,other_contact,neutral,production
R2,GF-0460,A1,refund_request,positive,overlap
R2,GF-0463,A1,shipping_delivery,negative,overlap
R2,GF-0465,A1,other_contact,neutral,overlap
R2,GF-0466,A1,billing_payments,neutral,overlap
R2,GF-0467,A1,other_contact,neutral,overlap
R2,GF-0470,A1,shipping_delivery,neutral,overlap
R2,GF-0471,A1,other_contact,neutral,production
R2,GF-0473,A1,account_access,neutral,overlap
R2,GF-0476,A1,other_contact,neutral,overlap
R2,GF-0477,A1,billing_payments,negative,overlap
R2,GF-0478,A1,billing_payments,neutral,production
R2,GF-0480,A1,other_contact,negative,production
R2,GF-0481,A1,feedback_complaints,neutral,production
R2,GF-0482,A1,other_contact,neutral,overlap
R2,GF-0484,A1,other_contact,neutral,production
R2,GF-0485,A1,cancellation,positive,overlap
R2,GF-0491,A1,refund_request,negative,overlap
R2,GF-0492,A1,other_contact,positive,production
R2,GF-0494,A1,billing_payments,negative,overlap
R2,GF-0496,A1,billing_payments,neutral,production
R2,GF-0499,A1,other_contact,positive,production
R2,GF-0500,A1,other_contact,neutral,overlap
R2,GF-0502,A1,refund_request,neutral,overlap
R2,GF-0505,A1,billing_payments,neutral,production
R2,GF-0507,A1,account_access,neutral,production
R2,GF-0511,A1,other_contact,neutral,production
R2,GF-0512,A1,billing_payments,neutral,production
R2,GF-0513,A1,billing_payments,neutral,production
R2,GF-0514,A1,billing_payments,neutral,production
R2,GF-0515,A1,other_contact,neutral,production
R2,GF-0516,A1,refund_request,negative,overlap
R2,GF-0519,A1,feedback_complaints,neutral,production
R2,GF-0522,A1,feedback_complaints,neutral,production
R2,GF-0523,A1,other_contact,neutral,production
R2,GF-0524,A1,other_contact,neutral,production
R2,GF-0527,A1,refund_request,positive,production
R2,GF-0529,A1,other_contact,neutral,production
R2,GF-0530,A1,feedback_complaints,neutral,production
R2,GF-0531,A1,billing_payments,negative,production
R2,GF-0532,A1,refund_request,negative,production
R2,GF-0533,A1,shipping_delivery,negative,overlap
R2,GF-0534,A1,refund_request,neutral,overlap
R2,GF-0537,A1,other_contact,negative,overlap
R2,GF-0538,A1,cancellation,negative,overlap
R2,GF-0540,A1,feedback_complaints,neutral,overlap
R2,GF-0544,A1,other_contact,negative,overlap
R2,GF-0546,A1,refund_request,neutral,overlap
R2,GF-0547,A1,shipping_delivery,positive,overlap
R2,GF-0549,A1,order_changes,neutral,production
R2,GF-0551,A1,cancellation,neutral,production
R2,GF-0552,A1,billing_payments,neutral,overlap
R2,GF-0553,A1,refund_request,negative,overlap
R2,GF-0558,A1,other_contact,negative,production
R2,GF-0561,A1,shipping_delivery,neutral,production
R2,GF-0562,A1,billing_payments,negative,production
R2,GF-0563,A1,billing_payments,neutral,production
R2,GF-0567,A1,refund_request,negative,overlap
R2,GF-0572,A1,billing_payments,negative,overlap
R2,GF-0577,A1,refund_request,neutral,overlap
R2,GF-0578,A1,feedback_complaints,neutral,production
R2,GF-0579,A1,refund_request,neutral,production
R2,GF-0580,A1,other_contact,neutral,production
R2,GF-0581,A1,cancellation,neutral,overlap
R2,GF-0583,A1,feedback_complaints,neutral,overlap
R2,GF-0584,A1,feedback_complaints,neutral,production
R2,GF-0585,A1,refund_request,neutral,production
R2,GF-0587,A1,refund_request,negative,overlap
R2,GF-0588,A1,order_changes,neutral,overlap
R2,GF-0589,A1,other_contact,neutral,overlap
R2,GF-0590,A1,cancellation,negative,overlap
R2,GF-0591,A1,billing_payments,negative,overlap
R2,GF-0592,A1,feedback_complaints,positive,overlap
R2,GF-0593,A1,billing_payments,negative,production
R2,GF-0596,A1,refund_request,negative,overlap
R2,GF-0598,A1,account_access,negative,overlap
R2,GF-0001,A2,other_contact,neutral,production
R2,GF-0002,A2,billing_payments,negative,production
R2,GF-0003,A2,billing_payments,negative,overlap
R2,GF-0004,A2,cancellation,negative,overlap
R2,GF-0005,A2,other_contact,negative,production
R2,GF-0006,A2,refund_request,negative,overlap
R2,GF-0007,A2,account_access,neutral,overlap
R2,GF-0008,A2,feedback_complaints,neutral,production
R2,GF-0010,A2,other_contact,neutral,production
R2,GF-0012,A2,refund_request,negative,overlap
R2,GF-0014,A2,shipping_delivery,neutral,production
R2,GF-0016,A2,shipping_delivery,neutral,production
R2,GF-0017,A2,other_contact,negative,production
R2,GF-0020,A2,account_access,neutral,production
R2,GF-0022,A2,account_access,negative,overlap
R2,GF-0023,A2,feedback_complaints,neutral,production
R2,GF-0024,A2,refund_request,neutral,overlap
R2,GF-0025,A2,cancellation,neutral,production
R2,GF-0026,A2,refund_request,neutral,overlap
R2,GF-0028,A2,feedback_complaints,negative,overlap
R2,GF-0030,A2,cancellation,neutral,overlap
R2,GF-0031,A2,refund_request,neutral,overlap
R2,GF-0032,A2,cancellation,neutral,production
R2,GF-0033,A2,refund_request,positive,overlap
R2,GF-0036,A2,shipping_delivery,negative,overlap
R2,GF-0037,A2,other_contact,neutral,production
R2,GF-0038,A2,other_contact,negative,production
R2,GF-0041,A2,other_contact,negative,overlap
R2,GF-0042,A2,other_contact,neutral,overlap
R2,GF-0043,A2,account_access,negative,production
R2,GF-0044,A2,account_access,negative,production
R2,GF-0045,A2,account_access,negative,overlap
R2,GF-0053,A2,shipping_delivery,positive,production
R2,GF-0054,A2,shipping_delivery,negative,overlap
R2,GF-0055,A2,refund_request,neutral,overlap
R2,GF-0056,A2,other_contact,neutral,production
R2,GF-0058,A2,refund_request,negative,overlap
R2,GF-0061,A2,billing_payments,negative,production
R2,GF-0064,A2,shipping_delivery,neutral,overlap
R2,GF-0066,A2,account_access,neutral,production
R2,GF-0067,A2,feedback_complaints,neutral,overlap
R2,GF-0071,A2,refund_request,positive,overlap
R2,GF-0072,A2,order_changes,neutral,overlap
R2,GF-0076,A2,refund_request,negative,overlap
R2,GF-0078,A2,shipping_delivery,neutral,overlap
R2,GF-0081,A2,other_contact,negative,overlap
R2,GF-0082,A2,feedback_complaints,positive,overlap
R2,GF-0085,A2,other_contact,negative,production
R2,GF-0087,A2,billing_payments,neutral,production
R2,GF-0088,A2,other_contact,negative,overlap
R2,GF-0097,A2,shipping_delivery,negative,overlap
R2,GF-0098,A2,feedback_complaints,neutral,overlap
R2,GF-0102,A2,refund_request,neutral,production
R2,GF-0103,A2,feedback_complaints,neutral,production
R2,GF-0105,A2,cancellation,neutral,overlap
R2,GF-0106,A2,cancellation,negative,overlap
R2,GF-0108,A2,other_contact,neutral,production
R2,GF-0112,A2,other_contact,neutral,overlap
R2,GF-0115,A2,account_access,neutral,overlap
R2,GF-0117,A2,other_contact,neutral,production
R2,GF-0119,A2,shipping_delivery,negative,overlap
R2,GF-0120,A2,other_contact,negative,production
R2,GF-0121,A2,other_contact,neutral,overlap
R2,GF-0122,A2,refund_request,neutral,overlap
R2,GF-0123,A2,refund_request,positive,overlap
R2,GF-0124,A2,refund_request,neutral,overlap
R2,GF-0126,A2,refund_request,neutral,overlap
R2,GF-0128,A2,feedback_complaints,neutral,production
R2,GF-0129,A2,account_access,negative,overlap
R2,GF-0131,A2,refund_request,negative,production
R2,GF-0134,A2,billing_payments,neutral,overlap
R2,GF-0138,A2,billing_payments,negative,overlap
R2,GF-0139,A2,order_changes,neutral,overlap
R2,GF-0140,A2,refund_request,neutral,production
R2,GF-0142,A2,refund_request,negative,overlap
R2,GF-0145,A2,other_contact,neutral,production
R2,GF-0147,A2,order_changes,neutral,production
R2,GF-0149,A2,refund_request,negative,overlap
R2,GF-0150,A2,other_contact,negative,overlap
R2,GF-0151,A2,refund_request,neutral,overlap
R2,GF-0152,A2,other_contact,neutral,production
R2,GF-0153,A2,cancellation,neutral,production
R2,GF-0155,A2,shipping_delivery,neutral,overlap
R2,GF-0159,A2,account_access,negative,overlap
R2,GF-0160,A2,account_access,neutral,overlap
R2,GF-0161,A2,billing_payments,neutral,overlap
R2,GF-0163,A2,other_contact,neutral,production
R2,GF-0164,A2,billing_payments,neutral,overlap
R2,GF-0165,A2,feedback_complaints,neutral,production
R2,GF-0169,A2,refund_request,negative,overlap
R2,GF-0170,A2,account_access,neutral,overlap
R2,GF-0172,A2,other_contact,neutral,production
R2,GF-0175,A2,cancellation,negative,overlap
R2,GF-0179,A2,account_access,neutral,overlap
R2,GF-0181,A2,billing_payments,negative,production
R2,GF-0182,A2,billing_payments,neutral,production
R2,GF-0183,A2,refund_request,neutral,overlap
R2,GF-0185,A2,billing_payments,neutral,overlap
R2,GF-0188,A2,refund_request,neutral,overlap
R2,GF-0189,A2,other_contact,neutral,overlap
R2,GF-0190,A2,other_contact,neutral,overlap
R2,GF-0192,A2,billing_payments,negative,overlap
R2,GF-0193,A2,refund_request,neutral,production
R2,GF-0195,A2,shipping_delivery,positive,production
R2,GF-0196,A2,refund_request,neutral,overlap
R2,GF-0198,A2,refund_request,negative,overlap
R2,GF-0199,A2,cancellation,neutral,overlap
R2,GF-0202,A2,refund_request,neutral,overlap
R2,GF-0203,A2,other_contact,neutral,overlap
R2,GF-0205,A2,shipping_delivery,negative,overlap
R2,GF-0206,A2,refund_request,negative,production
R2,GF-0207,A2,billing_payments,neutral,overlap
R2,GF-0209,A2,refund_request,negative,overlap
R2,GF-0214,A2,cancellation,neutral,production
R2,GF-0216,A2,cancellation,neutral,production
R2,GF-0217,A2,billing_payments,neutral,overlap
R2,GF-0218,A2,account_access,negative,production
R2,GF-0220,A2,order_changes,neutral,overlap
R2,GF-0221,A2,refund_request,neutral,overlap
R2,GF-0223,A2,other_contact,neutral,production
R2,GF-0225,A2,refund_request,neutral,production
R2,GF-0227,A2,cancellation,neutral,production
R2,GF-0233,A2,billing_payments,neutral,production
R2,GF-0236,A2,billing_payments,neutral,overlap
R2,GF-0241,A2,billing_payments,neutral,production
R2,GF-0243,A2,cancellation,neutral,overlap
R2,GF-0244,A2,other_contact,positive,overlap
R2,GF-0245,A2,billing_payments,neutral,production
R2,GF-0246,A2,account_access,negative,production
R2,GF-0247,A2,refund_request,neutral,overlap
R2,GF-0249,A2,refund_request,negative,overlap
R2,GF-0250,A2,cancellation,neutral,overlap
R2,GF-0251,A2,billing_payments,negative,production
R2,GF-0252,A2,shipping_delivery,neutral,production
R2,GF-0253,A2,cancellation,positive,overlap
R2,GF-0256,A2,other_contact,neutral,production
R2,GF-0257,A2,other_contact,neutral,production
R2,GF-0260,A2,account_access,positive,production
R2,GF-0261,A2,other_contact,neutral,overlap
R2,GF-0262,A2,refund_request,neutral,production
R2,GF-0263,A2,other_contact,neutral,production
R2,GF-0264,A2,billing_payments,positive,production
R2,GF-0266,A2,billing_payments,neutral,overlap
R2,GF-0267,A2,other_contact,negative,overlap
R2,GF-0268,A2,refund_request,neutral,production
R2,GF-0270,A2,cancellation,neutral,production
R2,GF-0273,A2,cancellation,neutral,overlap
R2,GF-0275,A2,shipping_delivery,negative,overlap
R2,GF-0276,A2,refund_request,negative,overlap
R2,GF-0279,A2,shipping_delivery,neutral,overlap
R2,GF-0280,A2,refund_request,neutral,overlap
R2,GF-0281,A2,billing_payments,negative,overlap
R2,GF-0282,A2,cancellation,negative,production
R2,GF-0285,A2,shipping_delivery,neutral,production
R2,GF-0286,A2,feedback_complaints,neutral,production
R2,GF-0288,A2,shipping_delivery,neutral,production
R2,GF-0289,A2,other_contact,neutral,production
R2,GF-0291,A2,refund_request,positive,overlap
R2,GF-0292,A2,shipping_delivery,neutral,overlap
R2,GF-0294,A2,shipping_delivery,negative,production
R2,GF-0295,A2,order_changes,positive,overlap
R2,GF-0298,A2,refund_request,negative,overlap
R2,GF-0299,A2,other_contact,neutral,overlap
R2,GF-0300,A2,shipping_delivery,positive,production
R2,GF-0304,A2,billing_payments,positive,production
R2,GF-0310,A2,shipping_delivery,neutral,production
R2,GF-0314,A2,other_contact,neutral,production
R2,GF-0316,A2,other_contact,negative,production
R2,GF-0318,A2,cancellation,positive,overlap
R2,GF-0319,A2,cancellation,neutral,overlap
R2,GF-0320,A2,other_contact,neutral,production
R2,GF-0321,A2,shipping_delivery,neutral,overlap
R2,GF-0323,A2,shipping_delivery,negative,production
R2,GF-0324,A2,refund_request,neutral,overlap
R2,GF-0325,A2,shipping_delivery,neutral,overlap
R2,GF-0327,A2,billing_payments,neutral,production
R2,GF-0331,A2,other_contact,neutral,production
R2,GF-0332,A2,other_contact,neutral,overlap
R2,GF-0334,A2,other_contact,neutral,overlap
R2,GF-0336,A2,shipping_delivery,negative,overlap
R2,GF-0337,A2,other_contact,positive,production
R2,GF-0338,A2,feedback_complaints,negative,overlap
R2,GF-0339,A2,billing_payments,negative,overlap
R2,GF-0342,A2,billing_payments,negative,production
R2,GF-0344,A2,shipping_delivery,negative,production
R2,GF-0345,A2,cancellation,negative,overlap
R2,GF-0346,A2,cancellation,neutral,production
R2,GF-0350,A2,cancellation,negative,production
R2,GF-0351,A2,other_contact,neutral,production
R2,GF-0352,A2,refund_request,neutral,production
R2,GF-0356,A2,feedback_complaints,neutral,overlap
R2,GF-0357,A2,cancellation,negative,overlap
R2,GF-0359,A2,cancellation,positive,overlap
R2,GF-0360,A2,refund_request,negative,overlap
R2,GF-0361,A2,order_changes,positive,overlap
R2,GF-0364,A2,feedback_complaints,neutral,overlap
R2,GF-0365,A2,other_contact,neutral,overlap
R2,GF-0366,A2,shipping_delivery,negative,overlap
R2,GF-0369,A2,account_access,negative,overlap
R2,GF-0370,A2,refund_request,negative,overlap
R2,GF-0372,A2,other_contact,neutral,production
R2,GF-0373,A2,refund_request,negative,overlap
R2,GF-0374,A2,billing_payments,positive,overlap
R2,GF-0375,A2,other_contact,neutral,production
R2,GF-0376,A2,cancellation,negative,overlap
R2,GF-0377,A2,refund_request,negative,overlap
R2,GF-0378,A2,other_contact,neutral,production
R2,GF-0379,A2,cancellation,neutral,production
R2,GF-0381,A2,refund_request,neutral,overlap
R2,GF-0386,A2,refund_request,neutral,production
R2,GF-0387,A2,billing_payments,negative,overlap
R2,GF-0389,A2,cancellation,neutral,production
R2,GF-0390,A2,refund_request,negative,overlap
R2,GF-0394,A2,billing_payments,neutral,overlap
R2,GF-0399,A2,other_contact,negative,production
R2,GF-0400,A2,refund_request,positive,overlap
R2,GF-0401,A2,billing_payments,negative,overlap
R2,GF-0404,A2,other_contact,neutral,production
R2,GF-0405,A2,cancellation,negative,overlap
R2,GF-0406,A2,cancellation,negative,overlap
R2,GF-0408,A2,billing_payments,neutral,overlap
R2,GF-0409,A2,refund_request,neutral,production
R2,GF-0411,A2,other_contact,negative,overlap
R2,GF-0412,A2,refund_request,negative,production
R2,GF-0413,A2,refund_request,neutral,overlap
R2,GF-0415,A2,other_contact,negative,overlap
R2,GF-0416,A2,billing_payments,negative,production
R2,GF-0418,A2,other_contact,neutral,production
R2,GF-0419,A2,billing_payments,negative,overlap
R2,GF-0420,A2,account_access,positive,overlap
R2,GF-0423,A2,shipping_delivery,neutral,production
R2,GF-0425,A2,account_access,negative,overlap
R2,GF-0427,A2,billing_payments,neutral,production
R2,GF-0430,A2,refund_request,negative,overlap
R2,GF-0434,A2,feedback_complaints,neutral,production
R2,GF-0435,A2,cancellation,neutral,overlap
R2,GF-0439,A2,billing_payments,neutral,production
R2,GF-0440,A2,cancellation,neutral,overlap
R2,GF-0442,A2,account_access,neutral,overlap
R2,GF-0443,A2,cancellation,neutral,overlap
R2,GF-0446,A2,cancellation,neutral,overlap
R2,GF-0447,A2,feedback_complaints,negative,production
R2,GF-0449,A2,account_access,neutral,production
R2,GF-0451,A2,account_access,positive,production
R2,GF-0453,A2,shipping_delivery,negative,production
R2,GF-0455,A2,billing_payments,negative,production
R2,GF-0456,A2,refund_request,negative,production
R2,GF-0458,A2,feedback_complaints,positive,production
R2,GF-0460,A2,refund_request,positive,overlap
R2,GF-0461,A2,other_contact,positive,production
R2,GF-0463,A2,shipping_delivery,negative,overlap
R2,GF-0465,A2,other_contact,neutral,overlap
R2,GF-0466,A2,billing_payments,neutral,overlap
R2,GF-0467,A2,other_contact,neutral,overlap
