ticket_id,text,source,design_intent,ambiguity_type,augmentation,design_sentiment,borderline,is_gold,is_calibration,batch,in_overlap
GF-0052,Frustrated customer here. i'm trying to get in touch with bloody customer service,bitext,other_contact,none,neg_wrap,negative,False,False,False,B3,False
GF-0053,Thanks so much! i don't know how to see the shipping methods,bitext,shipping_delivery,none,pos_wrap,positive,False,False,False,B3,False
GF-0054,"Love how my delivery went to the wrong address. Really top-notch stuff, guys.",injected_sarcasm,shipping_delivery,sarcasm,none,negative,True,True,False,B3,True
GF-0055,I want to cancel order #8178526. When do I get my money back?,injected_mixed_intent,refund_request,mixed_intent,none,neutral,True,False,False,B4,True
GF-0056,wana correct order #2275152,bitext,order_changes,none,none,neutral,False,False,False,B4,False
GF-0057,wanna change my fucking address,bitext,shipping_delivery,none,none,neutral,False,False,False,B2,False
GF-0058,I want to know if there is anything wrong with my rebate,bitext,refund_request,none,none,neutral,False,False,True,B3,True
GF-0059,"I have got to see the delivery methods, how to do it?",bitext,shipping_delivery,none,none,neutral,False,False,False,B3,False
GF-0060,ya have a method to send a comment about a product,bitext,feedback_complaints,none,none,neutral,False,False,False,B1,False
GF-0061,i need assistance solving errors with payments,bitext,billing_payments,none,none,neutral,False,False,False,B4,False
GF-0062,can i place an order frim $58,bitext,shipping_delivery,none,none,neutral,False,False,False,B1,False
GF-0063,can you help me check my restitution status?,bitext,refund_request,none,none,neutral,False,False,False,B3,False
GF-0064,Would you be able to tell me why the package is still in transit after a week?,injected_polite_complaint,shipping_delivery,polite_complaint,none,negative,True,False,False,B4,True
GF-0065,Frustrated customer here. tell me ur alowed payment options,bitext,billing_payments,none,neg_wrap,negative,False,False,False,B4,False
GF-0066,I do not know how to retrieve my bloody account PIN code,bitext,account_access,none,none,neutral,False,False,False,B2,False
GF-0067,help to file a consumer complaint,bitext,feedback_complaints,none,none,neutral,False,False,True,B3,True
GF-0068,can I cancel my subscription to your corporate newsletter?,bitext,other_contact,none,none,neutral,True,False,False,B2,False
GF-0069,i have to request a compensation of my money,bitext,refund_request,none,none,neutral,False,False,False,B3,False
GF-0070,Thanks so much! i have got to earn some of your article,bitext,order_changes,none,pos_wrap,positive,False,False,False,B1,False
GF-0071,I'd appreciate an update on my refund; it's been two weeks now.,injected_polite_complaint,refund_request,polite_complaint,none,negative,True,True,False,B2,True
GF-0072,I want help to remove some products from order $75,bitext,order_changes,none,none,neutral,False,True,False,B4,True
GF-0073,where could I get information about shipping period?,bitext,shipping_delivery,none,none,neutral,False,False,False,B2,False
GF-0074,I have got to see the early exit penalpties,bitext,cancellation,none,none,neutral,False,False,False,B4,False
GF-0075,"Love the new site, by the way! how tolodge a customer complaint",bitext,feedback_complaints,none,pos_wrap,positive,False,False,False,B4,False
GF-0076,Very upsetting situation. i have paid $64.2#8178526 for an item help me receive a compensation,bitext,refund_request,none,neg_wrap,negative,True,False,False,B1,True
GF-0077,need help to cancel purchase #5936436,bitext,cancellation,none,none,neutral,False,False,False,B3,False
GF-0078,I was wondering why my order still hasn't shipped after ten days.,injected_polite_complaint,shipping_delivery,polite_complaint,none,negative,True,False,False,B3,True
GF-0079,i cant make payments help to report issues with payments,bitext,billing_payments,none,none,neutral,False,False,False,B2,False
GF-0080,help to solve an error withonline payments,bitext,billing_payments,none,none,neutral,False,False,False,B1,False
GF-0081,Very upsetting situation. acn you help me changing something of purchase #4072634?,bitext,order_changes,none,neg_wrap,negative,False,False,True,B2,True
GF-0082,Great experience so far. want help ot write a review for a service,bitext,feedback_complaints,none,pos_wrap,positive,False,True,False,B1,True
GF-0083,checking bill from #6818269,bitext,billing_payments,none,none,neutral,False,False,False,B3,False
GF-0084,have a problem with the deletio of my premium account,bitext,account_access,none,none,neutral,False,False,False,B2,False
GF-0085,Honestly quite annoyed — updating order $64.2,bitext,order_changes,none,neg_wrap,negative,False,False,False,B3,False
GF-0086,what do I need to do to call customer assistance?,bitext,other_contact,none,none,neutral,False,False,False,B2,False
GF-0087,"I lost bill #37777, mail it to me",bitext,billing_payments,none,none,neutral,False,False,False,B3,False
GF-0088,Great experience so far. help me make a claim against your business,bitext,feedback_complaints,none,pos_wrap,positive,True,False,False,B4,True
GF-0089,I try to check in which cases can I ask to be reimbursed,bitext,other_contact,none,none,neutral,False,False,False,B2,False
GF-0090,I need help to find my damn invoice from #8178526,bitext,billing_payments,none,none,neutral,False,False,False,B3,False
GF-0091,Great experience so far. i have got to obtain reimbursements of money,bitext,refund_request,none,pos_wrap,positive,False,False,False,B4,False
GF-0092,Great experience so far. i have a question about canceling order #2577926,bitext,cancellation,none,pos_wrap,positive,False,False,False,B3,False
GF-0093,Thanks so much! i need an $19.99 account,bitext,account_access,none,pos_wrap,positive,False,False,False,B4,False
GF-0094,can i inform of sign-up problems,bitext,account_access,none,none,neutral,False,False,False,B3,False
GF-0095,can i place an order from #6350779,bitext,shipping_delivery,none,none,neutral,False,False,False,B2,False
GF-0096,I'm caalling to check how soon can i expect the damn order,bitext,shipping_delivery,none,none,neutral,False,False,False,B2,False
GF-0097,"May I ask why my parcel never arrived, even though tracking says delivered?",injected_polite_complaint,shipping_delivery,polite_complaint,none,negative,True,False,True,B4,True
GF-0098,want help sending feedback for a product,bitext,feedback_complaints,none,none,neutral,False,False,True,B4,True
GF-0099,I'm trying to earn a product,bitext,order_changes,none,none,neutral,False,False,False,B2,False
GF-0100,Thanks so much! i do not know what I need to do to download my bill #85632,bitext,billing_payments,none,pos_wrap,positive,False,False,False,B4,False
GF-0101,is there a method to leave some feedback for a product?,bitext,feedback_complaints,none,none,neutral,False,False,False,B2,False
GF-0102,rebate #1866995#5936436,bitext,refund_request,none,none,neutral,False,False,False,B3,False
GF-0103,help me file a consumer complaint against ur company,bitext,feedback_complaints,none,none,neutral,False,False,False,B3,False
GF-0104,what do i have to do to sign up to ur company newslettee,bitext,other_contact,none,none,neutral,False,False,False,B1,False
GF-0105,I need assistanc canceling the newsletter subscription,bitext,other_contact,none,none,neutral,True,False,False,B3,True
GF-0106,Unacceptable. Cancel order #5791940 immediately.,injected_tone_trap,cancellation,tone_trap,none,negative,True,False,False,B3,True
GF-0107,I can't enter a different shipping address,bitext,shipping_delivery,none,none,neutral,False,False,False,B4,False
GF-0108,i want help to check the early exit penalties,bitext,cancellation,none,none,neutral,False,False,False,B3,False
GF-0109,I'm getting tired of this awful runaround. need assistance to purchase several of your article,bitext,order_changes,none,neg_wrap,negative,False,False,False,B2,False
GF-0110,how do I check the current status of my restitution?,bitext,refund_request,none,none,neutral,False,False,False,B1,False
GF-0111,can I use the gold profile?,bitext,account_access,none,none,neutral,False,False,False,B1,False
GF-0112,do uship to #3897973,bitext,shipping_delivery,none,none,neutral,False,False,True,B4,True
GF-0113,"I cannot pay, I want to report bloody problems with payment",bitext,billing_payments,none,none,negative,False,False,False,B2,False
GF-0114,how can i ask for a ocmpensation of my money,bitext,refund_request,none,none,neutral,False,False,False,B4,False
GF-0115,could I reset my account PIN?,bitext,account_access,none,none,neutral,False,True,False,B4,True
GF-0116,I don't know what I need to do to close a #8649800 account,bitext,account_access,none,none,neutral,False,False,False,B2,False
GF-0117,I want assistance acquiring several of your product,bitext,order_changes,none,none,neutral,False,False,False,B3,False
GF-0118,need to demand revates of my money,bitext,refund_request,none,none,neutral,False,False,False,B3,False
GF-0119,Frustrated customer here. can you help me see what options for delivery I have?,bitext,shipping_delivery,none,neg_wrap,negative,False,True,False,B4,True
GF-0120,"you aren't helpful, how can I chat wiuth someone?",bitext,other_contact,none,none,neutral,False,False,False,B2,False
GF-0121,I need assistance making a customer claim,bitext,feedback_complaints,none,none,neutral,False,False,True,B4,True
GF-0122,"I have paid #4777192$25 for this item, how to get my money back?",bitext,refund_request,none,none,neutral,True,False,False,B4,True
GF-0123,You guys are awesome. Quick question: i am waiting for a reimbursement of #2595573$120,bitext,refund_request,none,pos_wrap,positive,False,True,False,B1,True
GF-0124,"I want to check how long refunds take, I need assistance",bitext,other_contact,none,none,neutral,False,False,True,B4,True
GF-0125,want help filing a consumer cliam against your company,bitext,feedback_complaints,none,none,neutral,False,False,False,B4,False
GF-0126,help me tracking my compensation,bitext,refund_request,none,none,neutral,True,False,False,B4,True
GF-0127,filing consumer claim against your business,bitext,feedback_complaints,none,none,neutral,False,False,False,B3,False
GF-0128,what do I need to do to download my invoice #37777?,bitext,billing_payments,none,none,neutral,False,False,False,B3,False
GF-0129,Fantastic service as always: the app crashes every time I log in.,injected_sarcasm,account_access,sarcasm,none,negative,True,False,True,B3,True
GF-0130,"I have to enter my new delivery address, could you help m?",bitext,shipping_delivery,none,none,neutral,False,False,False,B2,False
GF-0131,I need to see in which cases can I request the damn refunds,bitext,other_contact,none,none,neutral,False,False,False,B2,False
GF-0132,"Thanks so much! i have got to download the bill from #1076493, help me",bitext,billing_payments,none,pos_wrap,positive,False,False,False,B2,False
GF-0133,show me the eta of the order #6350779,bitext,shipping_delivery,none,none,neutral,False,False,False,B3,False
GF-0134,I don't know how I could check the early termination charges,bitext,cancellation,none,none,neutral,False,False,True,B3,True
GF-0135,"I have paid #1938488#6803434 for this order, I want my reimbursement",bitext,refund_request,none,none,neutral,True,False,False,B1,False
GF-0136,Frustrated customer here. i need help to file a customer claim against ur company,bitext,feedback_complaints,none,neg_wrap,negative,False,False,False,B1,False
GF-0137,"I have to leave feedback for a product, I need help",bitext,feedback_complaints,none,none,neutral,False,False,False,B2,False
GF-0138,"I would like to list the payment methods, how to do it?",bitext,billing_payments,none,none,neutral,False,True,False,B1,True
GF-0139,i need help changing several articles of purchase $14.5,bitext,order_changes,none,none,neutral,False,True,False,B1,True
GF-0140,"I have got to see how long refunds usually take, I need help",bitext,other_contact,none,none,neutral,False,False,False,B4,False
GF-0141,is it possible to check the ETA of order $49.99?,bitext,shipping_delivery,none,none,neutral,False,False,False,B3,False
GF-0142,Where's my money?,injected_short_fragment,refund_request,short_fragment,none,negative,True,False,False,B3,True
GF-0143,Thanks so much! how do I acquire several articles?,bitext,order_changes,none,pos_wrap,positive,False,False,False,B2,False
GF-0144,i try to get a rebate of money,bitext,refund_request,none,none,neutral,False,False,False,B4,False
GF-0145,I'm extremely unhapp with ur services help to make a claim,bitext,feedback_complaints,none,none,neutral,False,False,False,B3,False
GF-0146,need assistance tonotify of a trouble with payments,bitext,billing_payments,none,none,neutral,False,False,False,B2,False
GF-0147,is it possible to place an order from $120,bitext,shipping_delivery,none,none,neutral,False,False,False,B3,False
GF-0148,Honestly quite annoyed — how do i see when will my purchase arrive,bitext,shipping_delivery,none,neg_wrap,negative,False,False,False,B2,False
GF-0149,This whole thing is a scam. Refund #3336109 today or I'm disputing the charge.,injected_tone_trap,refund_request,tone_trap,none,negative,True,True,False,B4,True
GF-0150,I'm getting tired of this awful runaround. assistance filing a customer reclamation against ur business,bitext,feedback_complaints,none,neg_wrap,negative,False,False,False,B2,True
GF-0151,rebating #1168557#9231276,bitext,refund_request,none,none,neutral,False,False,False,B4,True
GF-0152,I do not know how I can correct my shgipping address,bitext,shipping_delivery,none,none,neutral,False,False,False,B1,False
GF-0153,i have to sede the cancellation charge,bitext,cancellation,none,none,neutral,True,False,False,B1,False
GF-0154,can you help me submit feedback for a service?,bitext,feedback_complaints,none,none,neutral,False,False,False,B1,False
GF-0155,I want help to change the delivery address,bitext,shipping_delivery,none,none,neutral,False,True,False,B2,True
GF-0156,have a problem with cancelling purchase $89.99,bitext,cancellation,none,none,neutral,False,False,False,B2,False
GF-0157,I have to create a premium account for my fiance,bitext,account_access,none,none,neutral,False,False,False,B3,False
GF-0158,i want assistance seeing the compensation current status,bitext,refund_request,none,none,neutral,False,False,False,B2,False
GF-0159,Honestly quite annoyed — modifying details on #8757008 account,bitext,account_access,none,neg_wrap,negative,False,False,True,B4,True
GF-0160,opening $32.75 account,bitext,account_access,none,none,neutral,False,False,False,B3,True
GF-0161,how can I get the invoices from #9912776?,bitext,billing_payments,none,none,neutral,False,True,False,B4,True
GF-0162,"Love the new site, by the way! i need to see the reimbursement status, how can I do it?",bitext,refund_request,none,pos_wrap,positive,False,False,False,B3,False
GF-0163,where to sign up to the newsleter,bitext,other_contact,none,none,neutral,False,False,False,B3,False
GF-0164,I do not know how to download the bill #85632,bitext,billing_payments,none,none,neutral,False,True,False,B2,True
GF-0165,I have got to send feedback for a product,bitext,feedback_complaints,none,none,neutral,False,False,False,B2,False
GF-0166,there are errors trying to correct my address,bitext,shipping_delivery,none,none,neutral,False,False,False,B1,False
GF-0167,can you help me cancel order #7023839?,bitext,cancellation,none,none,neutral,False,False,False,B3,False
GF-0168,I don't know what to do to restore my PIN code,bitext,account_access,none,none,neutral,False,False,False,B3,False
GF-0169,Please issue a refund for #4241087 — I've already cancelled it.,injected_mixed_intent,refund_request,mixed_intent,none,neutral,True,False,True,B1,True
GF-0170,want help to use the standard profile,bitext,account_access,none,none,neutral,False,False,True,B3,True
GF-0171,Great experience so far. i need help to call customer assistance,bitext,other_contact,none,pos_wrap,positive,False,False,False,B4,False
GF-0172,help me seeing what hours customer service available is,bitext,other_contact,none,none,neutral,False,False,False,B3,False
GF-0173,I have to check in which cases can I request a refund,bitext,other_contact,none,none,neutral,False,False,False,B1,False
GF-0174,I'm calling to make a complaint against ur company,bitext,feedback_complaints,none,none,neutral,False,False,False,B1,False
GF-0175,I'm getting tired of this awful runaround. i do not knwo what I need to do to cancel order $25,bitext,cancellation,none,neg_wrap,negative,False,True,False,B1,True
GF-0176,i do not know how to cancel order #2176675,bitext,cancellation,none,none,neutral,False,False,False,B3,False
GF-0177,how do I use the pro account?,bitext,account_access,none,none,neutral,False,False,False,B3,False
GF-0178,I can't see the status of my subscription to your newsletter,bitext,other_contact,none,none,neutral,False,False,False,B1,False
GF-0179,"I lost the access key of my account, help me reset it",bitext,account_access,none,none,neutral,False,True,False,B1,True
GF-0180,could you help me to solve payment errors?,bitext,billing_payments,none,none,neutral,False,False,False,B2,False
GF-0181,Honestly quite annoyed — can I take a quick look at the bill #00108?,bitext,billing_payments,none,neg_wrap,negative,False,False,False,B2,False
GF-0182,check bill #00108,bitext,billing_payments,none,none,neutral,False,False,False,B2,False
GF-0183,Refund my $64.2 and cancel the second order (#4241087) while you're at it.,injected_mixed_intent,refund_request,mixed_intent,none,neutral,True,False,True,B1,True
GF-0184,I want assistance writing an opinion for a product,bitext,feedback_complaints,none,none,neutral,False,False,False,B4,False
GF-0185,I need to look for the fucking invoices from #2526539,bitext,billing_payments,none,none,neutral,False,False,False,B2,True
GF-0186,i want assistance to send feedback for ur company,bitext,feedback_complaints,none,none,neutral,False,False,False,B3,False
GF-0187,I do not know what to do to speak with customer service,bitext,other_contact,none,none,neutral,False,False,False,B3,False
GF-0188,I have to see in what situations can I ask to be reimbursed,bitext,other_contact,none,none,neutral,False,False,False,B1,True
GF-0189,can you help me to list your paymnet modalities?,bitext,billing_payments,none,none,neutral,False,False,False,B4,True
GF-0190,I don't know what to do to talk to customer service,bitext,other_contact,none,none,neutral,False,True,False,B4,True
GF-0191,is it possible to purchase some articles?,bitext,order_changes,none,none,neutral,False,False,False,B3,False
GF-0192,Fantastic service as always: my card got charged twice.,injected_sarcasm,billing_payments,sarcasm,none,negative,True,False,True,B1,True
GF-0193,showing reimbursement status,bitext,refund_request,none,none,neutral,False,False,False,B4,False
GF-0194,editing #6818269 account,bitext,account_access,none,none,neutral,False,False,False,B4,False
GF-0195,"Love the new site, by the way! i want assistance entering my delivery address",bitext,shipping_delivery,none,pos_wrap,positive,False,False,False,B3,False
GF-0196,where do i see if there are any news on the rebate,bitext,refund_request,none,none,neutral,False,False,True,B1,True
GF-0197,cancelling purchase #4661544,bitext,cancellation,none,none,neutral,False,False,False,B3,False
GF-0198,This company is a nightmare. Refund my $40 for #2577926 immediately.,injected_tone_trap,refund_request,tone_trap,none,negative,True,True,False,B1,True
GF-0199,ho do i get a refund,bitext,refund_request,none,none,neutral,False,False,True,B2,True
GF-0200,wanna file a custome complaint,bitext,feedback_complaints,none,none,neutral,False,False,False,B4,False
GF-0201,I want assistance to notify of an error with sign-up,bitext,account_access,none,none,neutral,False,False,False,B1,False
GF-0202,Cancel order #9351146 immediately and I expect a full refund of $64.2.,injected_mixed_intent,refund_request,mixed_intent,none,neutral,True,False,True,B2,True
GF-0203,could you help me to see how soon can I expect the item?,bitext,shipping_delivery,none,none,neutral,False,False,True,B2,True
GF-0204,how do I see your money back policy?,bitext,other_contact,none,none,neutral,False,False,False,B3,False
GF-0205,Fantastic service as always: my package is a week late.,injected_sarcasm,shipping_delivery,sarcasm,none,negative,True,False,False,B2,True
GF-0206,Honestly quite annoyed — can yahelp me getting a compensation,bitext,refund_request,none,neg_wrap,negative,False,False,False,B1,False
GF-0207,"Excuse me, I think there's a small mistake on my invoice — a duplicate charge.",injected_polite_complaint,billing_payments,polite_complaint,none,negative,True,False,True,B4,True
GF-0208,You guys are awesome. Quick question: i dont know how i can get refunds,bitext,refund_request,none,pos_wrap,positive,False,False,False,B3,False
GF-0209,Fantastic service as always: my refund has vanished into thin air.,injected_sarcasm,refund_request,sarcasm,none,negative,True,False,False,B3,True
GF-0210,Very upsetting situation. how do I shop a few of your item?,bitext,order_changes,none,neg_wrap,negative,False,False,False,B1,False
GF-0211,i do not know how i can see the current status of the rebate,bitext,refund_request,none,none,neutral,False,False,False,B1,False
GF-0212,You guys are awesome. Quick question: how can i check purchase #6658042 current status,bitext,shipping_delivery,none,pos_wrap,positive,False,False,False,B1,False
GF-0213,I want information about the termination of a $120 account,bitext,account_access,none,none,neutral,False,False,False,B1,False
GF-0214,is it possible to cancel purchase #7471523,bitext,cancellation,none,none,neutral,False,False,False,B3,False
GF-0215,I try to inform of a trouble with online payment,bitext,billing_payments,none,none,neutral,False,False,False,B3,False
GF-0216,My card was charged $58 for an order I want cancelled (#2595573).,injected_mixed_intent,cancellation,mixed_intent,none,neutral,True,False,False,B3,False
GF-0217,Why is my card charged?,injected_short_fragment,billing_payments,short_fragment,none,neutral,True,True,False,B1,True
GF-0218,Thanks so much! delete freemium acvount,bitext,account_access,none,pos_wrap,positive,False,False,False,B1,False
GF-0219,Frustrated customer here. see the withdrawal penalties,bitext,cancellation,none,neg_wrap,negative,False,False,False,B3,False
GF-0220,add something to order $120,bitext,order_changes,none,none,neutral,False,True,False,B1,True
GF-0221,I expect an reimbursement of $58#8919350,bitext,refund_request,none,none,neutral,False,True,False,B3,True
GF-0222,wanna leave some feedback about a service,bitext,feedback_complaints,none,none,neutral,False,False,False,B3,False
GF-0223,can I place an ordewr from $64.2?,bitext,shipping_delivery,none,none,neutral,False,False,False,B1,False
GF-0224,"Love the new site, by the way! i would like to switch something of order #7023839",bitext,order_changes,none,pos_wrap,positive,False,False,False,B1,False
GF-0225,how can i check ur money back guarantee,bitext,other_contact,none,none,neutral,False,False,False,B4,False
GF-0226,I'm waiting for a refund of #8649800#8757008,bitext,refund_request,none,none,neutral,False,False,False,B2,False
GF-0227,where to cancel my subscription to the company newsletter,bitext,other_contact,none,none,neutral,True,False,False,B1,False
GF-0228,i have got to check the cvancellation penalty how to do it,bitext,cancellation,none,none,neutral,False,False,False,B2,False
GF-0229,i dont know what i need to do to lodge a consumer complaint,bitext,feedback_complaints,none,none,neutral,False,False,False,B1,False
GF-0230,"Love the new site, by the way! find my bill from #9912776",bitext,billing_payments,none,pos_wrap,positive,False,False,False,B2,False
GF-0231,I have troubles trying to update the address,bitext,shipping_delivery,none,none,neutral,False,False,False,B4,False
GF-0232,how long till I receive a refund of money?,bitext,refund_request,none,none,neutral,False,False,False,B4,False
GF-0233,ened assistance downloading the bill from $40,bitext,billing_payments,none,none,neutral,False,False,False,B4,False
GF-0234,Honestly quite annoyed — support correcting my address,bitext,shipping_delivery,none,neg_wrap,negative,False,False,False,B4,False
GF-0235,"Love the new site, by the way! i have got to check the withdrawal charge",bitext,cancellation,none,pos_wrap,positive,False,False,False,B2,False
GF-0236,I call to download bill #00108,bitext,billing_payments,none,none,neutral,False,False,True,B1,True
GF-0237,i have to see in which cases can i askfor my money back,bitext,other_contact,none,none,neutral,False,False,False,B1,False
GF-0238,can you help me contacting a person?,bitext,other_contact,none,none,neutral,False,False,False,B2,False
GF-0239,I am waiting for a reimbursement of $120#2526539,bitext,refund_request,none,none,neutral,False,False,False,B1,False
GF-0240,want help to see in what cases can I request reimbursements,bitext,other_contact,none,none,neutral,False,False,False,B2,False
GF-0241,help me seeing the early exit fee,bitext,cancellation,none,none,neutral,False,False,False,B2,False
GF-0242,help to list the available payment modalities,bitext,billing_payments,none,none,neutral,False,False,False,B4,False
GF-0243,help me to cancel purchase #8757008,bitext,cancellation,none,none,neutral,False,True,False,B2,True
GF-0244,"Love the new site, by the way! directing to agent",bitext,other_contact,none,pos_wrap,positive,False,True,False,B2,True
GF-0245,I want help to see your available payment modalities,bitext,billing_payments,none,none,neutral,False,False,False,B2,False
GF-0246,Honestly quite annoyed — is it possible to create a freemium account?,bitext,account_access,none,neg_wrap,negative,False,False,False,B4,False
GF-0247,"I paid #2176675 dollars for an item, I need to receive a rebate",bitext,refund_request,none,none,neutral,True,False,False,B3,True
GF-0248,I need assistance ordering some of your article,bitext,order_changes,none,none,neutral,False,False,False,B4,False
GF-0249,i cannot check ur money back guarantee,bitext,other_contact,none,none,neutral,False,False,True,B2,True
GF-0250,i have a questioln about my standard account cancellation,bitext,account_access,none,none,neutral,True,False,False,B2,True
GF-0251,where could I inform of issues with payment?,bitext,billing_payments,none,none,neutral,False,False,False,B2,False
GF-0252,I want help trying to edit my shipping address,bitext,shipping_delivery,none,none,neutral,False,False,False,B1,False
GF-0253,"Thanks so much! i have got to see the cancellation penalties, help me",bitext,cancellation,none,pos_wrap,positive,False,True,False,B2,True
GF-0254,I'm trying to check in which cases can i ask for a refund,bitext,other_contact,none,none,neutral,False,False,False,B4,False
GF-0255,"Love the new site, by the way! i paid #1636773$19.99 for these articles, I have to obtain a rebate",bitext,refund_request,none,pos_wrap,positive,True,False,False,B2,False
