ticket_id,final_intent,audit_reference,ref_source,verdict
GF-0107,shipping_delivery,shipping_delivery,independent_rule_derivation,pass
GF-0463,shipping_delivery,shipping_delivery,independent_rule_derivation,pass
GF-0556,shipping_delivery,shipping_delivery,independent_rule_derivation,pass
GF-0139,order_changes,order_changes,gold_set,pass
GF-0594,order_changes,order_changes,independent_rule_derivation,pass
GF-0549,order_changes,order_changes,independent_rule_derivation,pass
GF-0422,order_changes,order_changes,independent_rule_derivation,pass
GF-0588,order_changes,order_changes,gold_set,pass
GF-0220,order_changes,order_changes,gold_set,pass
GF-0072,order_changes,order_changes,gold_set,pass
GF-0361,order_changes,order_changes,gold_set,pass
GF-0295,order_changes,order_changes,gold_set,pass
GF-0062,order_changes,order_changes,independent_rule_derivation,pass
GF-0147,order_changes,order_changes,independent_rule_derivation,pass
GF-0095,order_changes,order_changes,independent_rule_derivation,pass
GF-0168,account_access,account_access,independent_rule_derivation,pass
GF-0157,account_access,account_access,independent_rule_derivation,pass
GF-0034,account_access,account_access,independent_rule_derivation,pass
GF-0260,account_access,account_access,independent_rule_derivation,pass
GF-0129,account_access,account_access,independent_rule_derivation,pass
GF-0486,account_access,account_access,independent_rule_derivation,pass
GF-0420,account_access,account_access,gold_set,pass
GF-0278,account_access,account_access,independent_rule_derivation,pass
GF-0541,account_access,account_access,independent_rule_derivation,pass
GF-0159,account_access,account_access,independent_rule_derivation,pass
GF-0449,account_access,account_access,independent_rule_derivation,pass
GF-0066,account_access,account_access,independent_rule_derivation,pass
GF-0570,account_access,account_access,independent_rule_derivation,pass
GF-0115,account_access,account_access,gold_set,pass
GF-0507,account_access,account_access,independent_rule_derivation,pass
GF-0101,feedback_complaints,feedback_complaints,independent_rule_derivation,pass
GF-0540,feedback_complaints,feedback_complaints,gold_set,pass
GF-0592,feedback_complaints,feedback_complaints,independent_rule_derivation,pass
GF-0445,feedback_complaints,feedback_complaints,independent_rule_derivation,pass
GF-0434,feedback_complaints,feedback_complaints,independent_rule_derivation,pass
GF-0356,feedback_complaints,feedback_complaints,gold_set,pass
GF-0437,feedback_complaints,feedback_complaints,independent_rule_derivation,pass
GF-0583,feedback_complaints,feedback_complaints,gold_set,pass
GF-0286,feedback_complaints,feedback_complaints,independent_rule_derivation,pass
GF-0067,feedback_complaints,feedback_complaints,independent_rule_derivation,pass
GF-0075,feedback_complaints,feedback_complaints,independent_rule_derivation,pass
GF-0447,feedback_complaints,feedback_complaints,independent_rule_derivation,pass
GF-0498,feedback_complaints,feedback_complaints,independent_rule_derivation,pass
GF-0184,feedback_complaints,feedback_complaints,independent_rule_derivation,pass
GF-0028,feedback_complaints,feedback_complaints,independent_rule_derivation,pass
GF-0396,other_contact,other_contact,independent_rule_derivation,pass
GF-0219,other_contact,other_contact,independent_rule_derivation,pass
GF-0263,other_contact,other_contact,independent_rule_derivation,pass
GF-0476,other_contact,other_contact,independent_rule_derivation,pass
GF-0010,other_contact,other_contact,independent_rule_derivation,pass
GF-0121,other_contact,other_contact,independent_rule_derivation,pass
GF-0597,other_contact,other_contact,independent_rule_derivation,pass
GF-0525,other_contact,other_contact,independent_rule_derivation,pass
GF-0171,other_contact,other_contact,independent_rule_derivation,pass
GF-0074,other_contact,other_contact,independent_rule_derivation,pass
GF-0329,other_contact,other_contact,independent_rule_derivation,pass
GF-0482,other_contact,other_contact,independent_rule_derivation,pass
GF-0332,other_contact,other_contact,gold_set,pass
GF-0493,other_contact,other_contact,independent_rule_derivation,pass
GF-0001,other_contact,other_contact,independent_rule_derivation,pass
